ID,VendorID,CartrigeTypeID,Name,NameLocal,PartNumber,Resourse,ItemsInPack,CartrigeColorID,Added,Updated,Description,MaxWriteOffSpeed,AvgWriteOffSpeed,UserUpdated,LastWriteOffDate,LastWriteOffQuantity,SumQuantity,GoodsNumber,LocalName,ReportName,ShowInNeedToBuy,Barcode,Hidden
86,1,1,"LBP 1210, LaserJet 1200, 1200N, 1220, 3300mfp, 3310mfp, 3320mfp, 3320n, 3330mfp, 3380",,C7115X,3500,1,2,22-ноя-05,20-июн-11,,0,0,,30-дек-99,0,0,,Картридж черный HP: C7115X,Картридж черный HP: C7115X,ЛОЖЬ,,ЛОЖЬ
87,1,1,"LBP 460, 465, 660, LaserJet 3100, 3150, 5L, 6L",,C3906A,2500,1,2,22-дек-05,20-июн-11,,0,0,,30-дек-99,0,0,,Картридж черный HP: C3906A,Картридж черный HP: C3906A,ЛОЖЬ,,ЛОЖЬ
88,1,1,"LaserJet 4000, 4000N, 4000T, 4000TN, 4050, 4050n, 4050tn",,C4127A,6000,1,2,01-ноя-05,10-июл-11,№ 27A,0,0,,30-дек-99,0,0,,Картридж черный HP: C4127A,Картридж черный HP: C4127A,ЛОЖЬ,,ЛОЖЬ
89,1,1,"LaserJet 4000, 4000N, 4000T, 4000TN, 4050, 4050n, 4050tn",,C4127X,10000,1,2,01-ноя-05,01-июл-11,,0,0,,30-дек-99,0,0,,Картридж черный HP: C4127X,Картридж черный HP: C4127X,ЛОЖЬ,,ЛОЖЬ
90,1,1,"LBP 3300, 3360, LaserJet 1320, 1320n, 1320NW, 1320TN, 3390, 3392",,Q5949X,6000,1,2,15-дек-05,01-июл-11,,0,0,,30-дек-99,0,0,,Картридж черный HP: Q5949X,Картридж черный HP: Q5949X,ЛОЖЬ,,ЛОЖЬ
91,1,1,"LBP 3300, 3360, LaserJet 1160, 1320, 1320n, 1320NW, 1320TN, 3390, 3392",,Q5949A,2500,1,2,15-дек-05,01-июл-11,,0,0,,30-дек-99,0,0,,Картридж черный HP: Q5949A,Картридж черный HP: Q5949A,ЛОЖЬ,,ЛОЖЬ
92,1,1,"LaserJet 1300, 1300n",,Q2613X,4000,1,2,06-дек-05,05-июл-11,,0,0,,30-дек-99,0,0,,Картридж черный HP: Q2613X,Картридж черный HP: Q2613X,ЛОЖЬ,,ЛОЖЬ
93,6,2,DocuColor 4CP,,006R90288,6000,1,5,15-дек-05,01-июл-11,,0,0,,30-дек-99,0,0,,Тонер желтый Xerox: 006R90288,Тонер желтый Xerox: 006R90288,ЛОЖЬ,,ЛОЖЬ
94,6,2,DocuColor 4CP,,006R90287,6000,1,4,15-дек-05,01-июл-11,,0,0,,30-дек-99,0,0,,Тонер пурпурный Xerox: 006R90287,Тонер пурпурный Xerox: 006R90287,ЛОЖЬ,,ЛОЖЬ
95,6,2,DocuColor 4CP,,006R90286,6000,1,3,15-дек-05,01-июл-11,,0,0,,30-дек-99,0,0,,Тонер голубой Xerox: 006R90286,Тонер голубой Xerox: 006R90286,ЛОЖЬ,,ЛОЖЬ
96,6,2,DocuColor 4CP,,006R90285,5500,1,2,15-дек-05,01-июл-11,,0,0,,30-дек-99,0,0,,Тонер черный Xerox: 006R90285,Тонер черный Xerox: 006R90285,ЛОЖЬ,,ЛОЖЬ
97,1,1,"Color LaserJet 1600, 2600n, 2605, 2605dn, 2605dtn, CM1015, CM1017",,Q6003A,2000,1,4,15-дек-05,01-июл-11,,0,0,,01-дек-12,1,0,,Картридж пурпурный HP: Q6003A,Картридж пурпурный HP: Q6003A,ЛОЖЬ,,ЛОЖЬ
98,1,1,"Color LaserJet 1600, 2600n, 2605, 2605dn, 2605dtn, CM1015, CM1017",,Q6002A,2000,1,5,15-дек-05,01-июл-11,,0,0,,,0,1,,Картридж желтый HP: Q6002A,Картридж желтый HP: Q6002A,ЛОЖЬ,,ЛОЖЬ
99,1,1,"Color LaserJet 1600, 2600n, 2605, 2605dn, 2605dtn, CM1015, CM1017",,Q6001A,2000,1,3,15-дек-05,01-июл-11,,0,0,,11-дек-12,1,0,,Картридж голубой HP: Q6001A,Картридж голубой HP: Q6001A,ЛОЖЬ,,ЛОЖЬ
100,1,1,"Color LaserJet 1600, 2600n, 2605, 2605dn, 2605dtn, CM1015, CM1017",,Q6000A,2500,1,2,15-дек-05,01-июл-11,,0,0,,11-дек-12,1,0,,Картридж черный HP: Q6000A,Картридж черный HP: Q6000A,ЛОЖЬ,,ЛОЖЬ
101,1,7,"DesignJet 130, 130gp, 130nr, 30, 30gp, 30n, 90, 90gp, 90r",,C9424A,0,1,9,18-ноя-05,01-июл-11,,0,0,,30-дек-99,0,0,,Печ. головка светло-пурпурный HP: C9424A,Печ. головка светло-пурпурный HP: C9424A,ЛОЖЬ,,ЛОЖЬ
